sample_index,n_qubits,pauli,ours_deterministic,ours_value,ours_p_plus,ours_p_minus,qiskit_expectation,qiskit_p_plus,qiskit_p_minus,match,z_prob_l1,z_prob_maxdiff,z_top_qiskit,z_top_ours,sample_shots,sample_l1,sample_maxdiff
0,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.031250;10000:0.031250;01000:0.031250;11000:0.031250;00100:0.031250,00000:0.031250;10000:0.031250;01000:0.031250;11000:0.031250;00100:0.031250,512,0.2734375,0.02734375
1,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.125000;10000:0.125000;00100:0.125000;10100:0.125000;00010:0.125000,00000:0.125000;10000:0.125000;00100:0.125000;10100:0.125000;00010:0.125000,512,0.17578125,0.033203125
2,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.250000;00110:0.250000;01101:0.250000;01011:0.250000,00000:0.250000;00110:0.250000;01101:0.250000;01011:0.250000,512,0.08984375,0.04296875
3,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.250000;10000:0.250000;00111:0.250000;10111:0.250000,00000:0.250000;10000:0.250000;00111:0.250000;10111:0.250000,512,0.04296875,0.017578125
4,5,ZZZZZ,True,1,1.0,0.0,1.0,1.0,0.0,True,0.0,0.0,00000:0.500000;01001:0.500000,00000:0.500000;01001:0.500000,512,0.04296875,0.021484375
5,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.125000;01000:0.125000;00100:0.125000;01100:0.125000;00001:0.125000,00000:0.125000;01000:0.125000;00100:0.125000;01100:0.125000;00001:0.125000,512,0.10546875,0.037109375
6,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.125000;00100:0.125000;00010:0.125000;00110:0.125000;10001:0.125000,00000:0.125000;00100:0.125000;00010:0.125000;00110:0.125000;10001:0.125000,512,0.19140625,0.05078125
7,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.125000;00100:0.125000;00010:0.125000;00110:0.125000;00001:0.125000,00000:0.125000;00100:0.125000;00010:0.125000;00110:0.125000;00001:0.125000,512,0.07421875,0.015625
8,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.250000;11010:0.250000;10001:0.250000;01011:0.250000,00000:0.250000;11010:0.250000;10001:0.250000;01011:0.250000,512,0.04296875,0.013671875
9,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.125000;10000:0.125000;00100:0.125000;10100:0.125000;00010:0.125000,00000:0.125000;10000:0.125000;00100:0.125000;10100:0.125000;00010:0.125000,512,0.109375,0.046875
10,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.125000;10000:0.125000;01100:0.125000;11100:0.125000;00001:0.125000,00000:0.125000;10000:0.125000;01100:0.125000;11100:0.125000;00001:0.125000,512,0.10546875,0.02734375
11,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.062500;10000:0.062500;00100:0.062500;10100:0.062500;01010:0.062500,00000:0.062500;10000:0.062500;00100:0.062500;10100:0.062500;01010:0.062500,512,0.20703125,0.029296875
12,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.062500;10000:0.062500;00100:0.062500;10100:0.062500;01010:0.062500,00000:0.062500;10000:0.062500;00100:0.062500;10100:0.062500;01010:0.062500,512,0.23046875,0.029296875
13,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.062500;11000:0.062500;00100:0.062500;11100:0.062500;10010:0.062500,00000:0.062500;11000:0.062500;00100:0.062500;11100:0.062500;10010:0.062500,512,0.12890625,0.01953125
14,5,ZZZZZ,True,-1,0.0,1.0,-1.0,0.0,1.0,True,0.0,0.0,00001:0.500000;10011:0.500000,00001:0.500000;10011:0.500000,512,0.06640625,0.033203125
15,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.250000;00010:0.250000;10001:0.250000;10011:0.250000,00000:0.250000;00010:0.250000;10001:0.250000;10011:0.250000,512,0.109375,0.048828125
16,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.125000;10000:0.125000;00100:0.125000;10100:0.125000;00001:0.125000,00000:0.125000;10000:0.125000;00100:0.125000;10100:0.125000;00001:0.125000,512,0.15625,0.029296875
17,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.500000;01110:0.500000,00000:0.500000;01110:0.500000,512,0.18359375,0.091796875
18,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.250000;01000:0.250000;00111:0.250000;01111:0.250000,00000:0.250000;01000:0.250000;00111:0.250000;01111:0.250000,512,0.15625,0.0546875
19,5,ZZZZZ,False,,0.5,0.5,0.0,0.5,0.5,True,0.0,0.0,00000:0.062500;10000:0.062500;01100:0.062500;11100:0.062500;00010:0.062500,00000:0.062500;10000:0.062500;01100:0.062500;11100:0.062500;00010:0.062500,512,0.22265625,0.03125
